train_loss,epoch,step,val_loss
2.809405565261841,0,49,
0.8082926273345947,0,99,
1.8375293016433716,0,149,
0.883902907371521,0,199,
1.1079233884811401,0,249,
0.31227779388427734,0,299,
,0,312,0.7160232663154602
0.7946285605430603,1,349,
0.26211223006248474,1,399,
0.8757004737854004,1,449,
0.2159658670425415,1,499,
0.09802255779504776,1,549,
0.1500525325536728,1,599,
,1,625,0.1597345769405365
0.5833280086517334,2,649,
0.20164580643177032,2,699,
0.21031655371189117,2,749,
0.5389412045478821,2,799,
0.5022789239883423,2,849,
0.3622724413871765,2,899,
,2,938,0.10813487321138382
0.12900814414024353,3,949,
0.1517539620399475,3,999,
0.17814290523529053,3,1049,
0.17774532735347748,3,1099,
0.3530995845794678,3,1149,
0.25750797986984253,3,1199,
0.08656160533428192,3,1249,
,3,1251,0.06412997096776962
0.06826408952474594,4,1299,
0.07003382593393326,4,1349,
0.30469202995300293,4,1399,
0.04679301753640175,4,1449,
0.07584585249423981,4,1499,
0.10418712347745895,4,1549,
,4,1564,0.048999637365341187
0.111083023250103,5,1599,
0.07194817066192627,5,1649,
0.1289343535900116,5,1699,
0.1486021876335144,5,1749,
0.054365258663892746,5,1799,
0.08471336960792542,5,1849,
,5,1877,0.038204558193683624
0.05089392140507698,6,1899,
0.10872278362512589,6,1949,
0.08840178698301315,6,1999,
0.2467704713344574,6,2049,
0.05291341245174408,6,2099,
0.05456632375717163,6,2149,
,6,2190,0.03273945674300194
0.1612749844789505,7,2199,
0.11702599376440048,7,2249,
0.03889089077711105,7,2299,
0.0825994610786438,7,2349,
0.05718470737338066,7,2399,
0.03148782625794411,7,2449,
0.025833018124103546,7,2499,
,7,2503,0.02239314280450344
0.034521158784627914,8,2549,
0.03439248725771904,8,2599,
0.03895287960767746,8,2649,
0.062234461307525635,8,2699,
0.05142277479171753,8,2749,
0.06238009035587311,8,2799,
,8,2816,0.01983780972659588
0.1470019668340683,9,2849,
0.04322921112179756,9,2899,
0.04565131291747093,9,2949,
0.05844151973724365,9,2999,
0.07247963547706604,9,3049,
0.09021957218647003,9,3099,
,9,3129,0.022974681109189987
0.05929552763700485,10,3149,
0.061594877392053604,10,3199,
0.034002091735601425,10,3249,
0.05267298221588135,10,3299,
0.026245975866913795,10,3349,
0.03531414270401001,10,3399,
,10,3442,0.015069941058754921
0.06978785246610641,11,3449,
0.021289166063070297,11,3499,
0.026489634066820145,11,3549,
0.034534770995378494,11,3599,
0.057024821639060974,11,3649,
0.017593536525964737,11,3699,
0.05462632700800896,11,3749,
,11,3755,0.013158542104065418
0.025494515895843506,12,3799,
0.035846859216690063,12,3849,
0.03155208379030228,12,3899,
0.09195984154939651,12,3949,
0.055725567042827606,12,3999,
0.024873914197087288,12,4049,
,12,4068,0.012634984217584133
0.02179831825196743,13,4099,
0.040945421904325485,13,4149,
0.035430245101451874,13,4199,
0.025745505467057228,13,4249,
0.07471466809511185,13,4299,
0.02082548290491104,13,4349,
,13,4381,0.011973017826676369
0.052558932453393936,14,4399,
0.027871962636709213,14,4449,
0.014374302700161934,14,4499,
0.10624195635318756,14,4549,
0.02392399311065674,14,4599,
0.027263326570391655,14,4649,
,14,4694,0.012459580786526203
0.03107399120926857,15,4699,
0.025627795606851578,15,4749,
0.03330771252512932,15,4799,
0.07439761608839035,15,4849,
0.02691078558564186,15,4899,
0.016773808747529984,15,4949,
0.030762339010834694,15,4999,
,15,5007,0.01202034018933773
0.026939984411001205,16,5049,
0.0234922394156456,16,5099,
0.01841902732849121,16,5149,
0.02450353279709816,16,5199,
0.02905808761715889,16,5249,
0.021285099908709526,16,5299,
,16,5320,0.011913559399545193
0.05891930311918259,17,5349,
0.04466576874256134,17,5399,
0.025486057624220848,17,5449,
0.03423641249537468,17,5499,
0.021786712110042572,17,5549,
0.03866920620203018,17,5599,
,17,5633,0.012786705046892166
0.05326179787516594,18,5649,
0.043586671352386475,18,5699,
0.03065408766269684,18,5749,
0.029795721173286438,18,5799,
0.038160379976034164,18,5849,
0.05526323243975639,18,5899,
,18,5946,0.010418316349387169
0.029798094183206558,19,5949,
0.04223816841840744,19,5999,
0.06185845658183098,19,6049,
0.019743695855140686,19,6099,
0.036543067544698715,19,6149,
0.01631975546479225,19,6199,
0.024923201650381088,19,6249,
,19,6259,0.010671825148165226
