train_loss_step,epoch,step,val_loss_step,val_loss_epoch,train_loss_epoch
0.0026991479098796844,0,9,,,
0.0025971371214836836,0,19,,,
0.0025015585124492645,0,29,,,
0.002416877541691065,0,39,,,
0.0023301169276237488,0,49,,,
0.002236307831481099,0,59,,,
0.0021423781290650368,0,69,,,
0.0020623549353331327,0,79,,,
0.0019583122339099646,0,89,,,
0.0018747929716482759,0,99,,,
0.0017846038099378347,0,109,,,
0.0016948484117165208,0,119,,,
0.0016061539063230157,0,129,,,
0.0015035605756565928,0,139,,,
0.001393158221617341,0,149,,,
0.0012479498982429504,0,159,,,
0.0010633572237566113,0,169,,,
0.0008190203225240111,0,179,,,
0.0005689988611266017,0,189,,,
0.0003750000905711204,0,199,,,
0.00024446172756142914,0,209,,,
0.00016528979176655412,0,219,,,
0.00012541271280497313,0,229,,,
0.00010540254879742861,0,239,,,
9.308124572271481e-05,0,249,,,
8.300709305331111e-05,0,259,,,
7.746932533336803e-05,0,269,,,
7.209264731500298e-05,0,279,,,
6.849153578514233e-05,0,289,,,
6.563911301782355e-05,0,299,,,
6.20887876721099e-05,0,309,,,
6.076118006603792e-05,0,319,,,
5.874044290976599e-05,0,329,,,
5.878531010239385e-05,0,339,,,
5.6953886087285355e-05,0,349,,,
5.901867552893236e-05,0,359,,,
5.5865377362351865e-05,0,369,,,
5.5865864851512015e-05,0,379,,,
6.069317532819696e-05,0,389,,,
5.109693665872328e-05,0,399,,,
4.961563172400929e-05,0,409,,,
4.96820684929844e-05,0,419,,,
5.3277264669304714e-05,0,429,,,
5.4606818594038486e-05,0,439,,,
5.03921000927221e-05,0,449,,,
5.3861822379985824e-05,0,459,,,
5.029373642173596e-05,0,469,,,
5.1481769332895055e-05,0,479,,,
5.4110689234221354e-05,0,489,,,
4.8379384679719806e-05,0,499,,,
5.09160672663711e-05,0,509,,,
4.9883794417837635e-05,0,519,,,
4.926376277580857e-05,0,529,,,
4.7219775296980515e-05,0,539,,,
4.604974310495891e-05,0,549,,,
5.2902156312484294e-05,0,559,,,
4.962206003256142e-05,0,569,,,
4.982162136002444e-05,0,579,,,
4.9997426685877144e-05,0,589,,,
4.799892121809535e-05,0,599,,,
4.517863999353722e-05,0,609,,,
4.831564729101956e-05,0,619,,,
4.883626752416603e-05,0,629,,,
4.7411151172127575e-05,0,639,,,
4.827613884117454e-05,0,649,,,
4.862646892433986e-05,0,659,,,
4.7174755309242755e-05,0,669,,,
4.721585355582647e-05,0,679,,,
4.667265238822438e-05,0,689,,,
4.706829349743202e-05,0,699,,,
4.412939233588986e-05,0,709,,,
